DEER,Description,2019-01-03
DEER,Scheduled,2914
DEER,Recordings,2369
DEER,RecordingFailure,0
DEER,AccountWithRecording,571
DUKE,Description,2019-01-03
DUKE,Scheduled,234
DUKE,Recordings,203
DUKE,RecordingFailure,0
DUKE,AccountWithRecording,37
MID,Description,2019-01-03
MID,Scheduled,82
MID,Recordings,70
MID,RecordingFailure,0
MID,AccountWithRecording,30
OKC,Description,2019-01-03
OKC,Scheduled,351
OKC,Recordings,301
OKC,RecordingFailure,0
OKC,AccountWithRecording,73
RI,Description,2019-01-03
RI,Scheduled,196
RI,Recordings,180
RI,RecordingFailure,0
RI,AccountWithRecording,42
SD,Description,2019-01-03
SD,Scheduled,1052
SD,Recordings,874
SD,RecordingFailure,0
SD,AccountWithRecording,241
